Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,05/15/20,05/16/20,05/17/20,05/18/20,05/19/20,05/20/20,05/21/20,05/22/20,05/23/20,05/24/20,05/25/20,05/26/20,05/27/20,05/28/20,05/29/20,05/30/20,05/31/20,06/01/20,06/02/20,06/03/20,06/04/20,06/05/20,06/06/20,06/07/20,06/08/20,06/09/20,06/10/20,06/11/20
,Jujuy,,,0,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,9,12,13,13,15,17,44,45,72,75,75,91,97,114,128,148,162,163,192,222,260,312,335,394,462,467,483,533,555,667,674,680,667,711,758,808,862,919,979,1044,1113,1186,1265,1348,1437,1532,1633,1741,1856,1979,2109,2248,2397,2555,2724,2903,3095,3299,3517,3749
,La Pampa,,,2,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
,La Rioja,,,1,1,1,1,4,4,6,8,9,9,9,14,14,14,19,22,28,31,34,35,35,39,39,40,45,45,47,50,50,50,51,52,52,55,55,55,56,56,56,57,59,59,59,60,60,60,60,60,60,60,61,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,72,74,75,76,76,80,84,85,88,91,96,102,107,110,124,125,131,136,140,146,154,157,161,163,180,184,184,184,180,185,189,194,198,203,208,213,218,223,229,234,240,246,252,258,264,270,277,283,290,297,304,311,319,327,334,342
,Mendoza,,,6,7,8,9,10,13,15,25,25,27,27,29,30,32,38,40,49,54,57,59,62,63,68,69,69,72,73,73,74,75,75,75,75,75,76,78,83,84,85,85,85,85,85,85,86,86,86,86,87,88,88,88,88,88,88,89,89,90,90,90,90,90,90,90,90,91,92,92,100,100,100,100,101,101,101,101,102,102,103,105,105,112,112,115,116,119,122,127,132,135,143,151,152,155,161,167,168,172,179,181,184,188,195,199,222,244,255,267,281,295,308,335,364,386,393,418,444,472,502,533,567,602,640,680,723,768,816,867,921,979,1041,1106,1175,1249,1327,1410,1498,1592,1692,1798,1910,2030
,Misiones,,,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,8,8,12,12,12,24,24,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,28,28,28,29,31,32,34,36,37,37,37,37,37,37,37,38,38,38,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
,Neuquen,,,1,2,3,6,10,12,20,20,24,28,29,33,44,50,53,70,77,84,85,86,88,90,91,92,93,96,99,102,102,103,104,104,104,105,108,108,109,111,111,111,111,111,111,111,111,111,111,111,111,111,113,114,114,114,114,114,114,114,114,114,114,115,116,123,125,128,130,131,134,137,140,150,150,151,152,152,152,157,167,181,187,200,209,212,240,251,267,294,303,312,323,352,364,384,415,431,443,461,479,491,503,531,551,560,594,616,639,649,663,676,693,740,761,796,795,823,851,880,910,941,973,1007,1041,1077,1114,1152,1191,1232,1274,1318,1363,1409,1457,1507,1559,1612,1667,1724,1783,1844,1907,1973
,Rio Negro,,,2,5,8,8,9,9,9,10,15,17,19,21,22,35,42,65,78,81,94,106,115,116,119,127,137,148,165,169,180,184,185,193,206,214,228,236,242,248,255,259,265,268,270,274,276,289,290,294,298,315,321,323,325,331,333,336,342,347,352,356,360,368,375,387,392,396,407,410,426,434,442,457,467,478,491,503,517,533,546,552,564,581,595,622,656,675,691,699,718,742,792,805,819,825,849,864,877,911,934,962,965,972,997,1008,1031,1057,1082,1096,1123,1166,1194,1215,1272,1297,1307,1341,1375,1411,1447,1485,1523,1563,1603,1645,1687,1731,1776,1822,1869,1918,1967,2018,2070,2124,2179,2235,2293,2353,2414,2476,2540,2606
,Salta,,,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,8,8,11,15,15,15,15,15,16,16,16,19,19,19,19,21,21,21,21,21,21,21,21,22,22,25,25,25,27,27,30,31,33,33,41,57,59,61,69,75,84,86,107,109,117,126,128,145,146,147,171,172,169,178,188,199,210,221,234,247,261,275,290,306,324,341,360,381,402,424,448,472,499,526,556,586,619,653,690,728
,San Juan,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,24,24
,San Luis,,,0,4,5,6,6,6,7,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,14,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21
,Santa Cruz,,,0,0,5,7,9,9,9,19,21,21,22,23,23,31,31,31,37,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,43,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,53,54,55,55,55,57,61,61,61,61,61,70,83,66,69,72,75,79,82,86,90,94,98,102,107,111,116,122,127,133,138,145,151,158,165,172,179,187,196,204,213
,Santa Fe,,,31,34,56,68,77,90,111,133,144,152,160,165,176,184,187,189,196,197,200,203,205,207,209,212,218,221,222,224,225,230,236,239,242,242,242,243,243,243,243,243,243,243,244,244,244,244,244,244,244,244,244,244,244,245,245,249,249,249,254,258,258,260,260,261,261,261,261,262,262,265,265,268,273,274,276,276,276,278,282,284,284,285,285,285,288,290,301,312,318,335,340,369,373,394,406,411,417,420,421,422,424,429,434,437,442,451,465,480,486,505,528,539,568,591,587,607,627,647,668,690,713,736,760,785,811,838,865,893,923,953,984,1016,1050,1084,1120,1156,1194,1233,1274,1315,1358,1403
,Santiago,,,0,1,2,2,2,2,3,3,4,4,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,24,24,25,25,25,25,25,26,27,35,36,36,36,36,36,37,37,37,37,37,35,35,35,36,36,36,36,36,36,36,37,37,37,37,37,37,38,38,38,38,38,38,38,39,39,39,39,39
,Tierra,,,6,10,11,14,17,21,32,39,39,63,64,72,75,77,79,81,81,83,91,95,99,107,110,117,119,119,122,122,124,124,125,126,130,130,131,137,137,139,140,143,145,145,145,145,145,145,146,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,153,153,153,154,154,154,154,154,160,160,207,207,175,182,189,197,205,214,222,232,241,251,261,272,283,295,307,320,333,346,361,375,391,407,423,441,459,478,497,518
,Tucuman,,,1,3,9,15,15,16,17,21,21,22,22,27,28,28,29,29,30,30,30,30,30,30,30,30,30,31,31,35,35,35,35,35,35,36,36,38,38,38,38,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,43,43,46,46,47,47,47,47,47,48,48,48,48,48,49,49,49,49,49,49,49,49,49,50,56,56,56,57,58,58,58,58,59,59,69,70,71,72,72,72,72,80,80,81,82,85,85,85,86,87,89,89,90,92,92,92,93,100,93,94,96,97,98,100,101,102,104,105,107,108,110,111,113,114,116,118,119,121,123,124,126,128,130,131,133,135
,South America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,8,11,16,22,34,45,67,74,96,129,148,304,370,437,679,973,1218,1691,2337,3064,4205,5021,5886,6722,7851,9042,10341,11378,12388,14590,16972,19284,21314,23654,25568,27599,30470,35558,39677,45053,47890,50792,54863,57920,63116,67461,72764,78055,82391,86597,91375,96731,104158,121558,131610,138491,145434,155829,166441,178932,190559,200807,212879,224972,237926,254395,269777,286840,301438,313102,323894,338598,358688,379982,388934,408263,428552,449850,472205,495672,520306,546163,573305,601797,631704,663098,696051,730642,766953,805068,845077,887074,931159,977434,1026009,1076998,1130521,1186704,1245679,1307585,1372568,1440780
,World,,,555,654,941,1434,2118,2927,5578,6166,8234,9928,12038,16788,19888,23898,27643,30802,34395,37129,40159,42768,44810,45228,60381,66908,69050,71234,73269,75151,75651,76211,76840,78601,78979,79543,80396,81373,82737,84114,86009,88386,90360,92938,95237,98028,101972,106010,109961,113863,118886,126549,132299,146706,157797,168943,183600,199444,219038,246956,276565,308843,342256,384421,425575,476456,539352,603752,671357,730934,795573,871985,948200,1029603,1112754,1193131,1264849,1337712,1414392,1498167,1584792,1672450,1749170,1845975,1915565,1985482,2066310,2163014,2250738,2326726,2404791,2478129,2553379,2632444,2719199,2816231,2897494,2968773,3035703,3109860,3187353,3269943,3357026,3436666,3514019,3589337,3669323,3759342,3850100,3943187,4026648,4102468,4178860,4261731,4346869,4443577,4514052,4606477,4700796,4797045,4895265,4995497,5097780,5202158,5308673,5417369,5528290,5641482,5756993,5874868,5995157,6117908,6243173,6371003,6501450,6634568,6770412,6909037,7050501,7194861,7342177,7492509,7645919,7802470
