,Kent,39.08646628,-75.56884914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,6,10,14,17,21,25,25,27,34,41,43,54,68,86,128,147,201,214,230,255,281,288,329,345,352,384,417,417,430,459,503,539,558,579,625,652,728,743,759,773,793,821,833,847,891,945,963,985,985,1044,1060,1084,1115,1146,1176,1197,1219,1238,1253,1281,1296,1296,1340,1356,1368,1374,1392,1401,1432,1436,1440,1450,1451,1454,1465,1496,1511,1513,1522,1530,1543,1544,1554,1557,1565,1573,1579,1584,1602,1606,1613,1620,1624,1628,1630,1635,1652,1663,1672,1690,1699,1716,1730,1735,1746,1761,1784,1790,1795,1815,1829,1848,1857,1865,1876,1887,1978,1995,2000,2013,2017,2025,2058,2102,2109,2117,2125,2132,2142,2151,2167,2183,2199,2215,2226,2238,2247,2268,2277,2287,2294,2306,2319,2402,2463,2475,2485,2496,2503,2505,2525,2529,2543,2551,2553,2556,2560,2566,2578,2612,2618,2624,2639,2639,2655,2678,2699,2712,2720,2727,2727,2744,2747,2782,2788,2802,2815,2827,2836,2839,2852,2865,2875,2882,2898,2903,2905,2911,2925,2937,2949,2963,2969,3121,3137,3152,3162,3167,3178,3183,3190,3212,3225,3243,3254,3259,3272,3285,3316,3331,3345,3364,3364,3376,3394,3407,3422,3447,3462,3481,3505,3545,3569,3606,3613,3629,3636,3681,3717,3741,3778,3812,3829,3874,3901,3956,4027,4044,4100,4140,4172,4225,4324,4375,4439,4498,4562,4613,4693,4798,4899,4975,5103,5190,5283,5405,5651,5789,5945,6150,6292,6431,6536,6706,6903,6989,7180,7293,7442,7599,7676,7829,7910,8026,8127,8241,8346,8437,8654,8771,8838,8939,9019,9173,9329,9489,9600,9733,9853,9946,10097,10216,10366,10471,10580,10680,10809,10970,11088,11206,11363,11487,11548,11620,11737,11870,12017,12157,12241,12306,12375,12521,12634,12746,12821,12918,12964,13031,13096,13162,13216,13330,13371,13418,13470,13552,13623,13678,13736,13756,13786,13832,13906,13956,14042,14089,14136,14147,14199,14248,14295,14355,14388,14420,14437,14478,14517,14554,14605,14627,14662,14678,14710,14746,14775,14800,14829,14844,14863,14913,14949,14979,15039,15102,15118,15134,15170,15206,15256,15338,15393,15444,15462,15527,15595,15662,15748,15806,15843,15863,15924,15999,16086,16184,16261,16309,16351,16439,16502,16572,16643,16708,16775,16795,16838,16874,16932,17009,17065,17114,17137,17205,17270,17378,17413,17484,17504,17516,17553,17578,17619,17655,17692,17712,17722,17753,17779,17801,17832,17850,17855,17864,17997,18018,18034,18045,18053,18060,18060,18077,18087,18094,18103,18108,18113,18118,18120,18126,18129,18143,18150,18153,18155,18159,18164,18168,18172,18175,18175,18184,18184,18192,18199,18204,18206,18208,18209,18212,18215,18216,18224,18225,18226,18230,18234,18243,18256,18264,18270,18272,18272,18272,18277,18288,18292,18301,18305,18305,18325,18335,18341,18349,18365,18371,18374,18385,18392,18401,18416,18424,18434,18439,18460,18477,18507,18534,18575,18594,18607,18646,18702,18769,18841,18883,18921,18947,18998,19091,19151,19250,19336,19410,19437,19530,19646,19776,19866,19942,19988,20020,20114,20208,20340,20459,20516,20596,20649,20730,20867,21002,21131,21219,21273,21350,21393,21504,21652,21786,21882,21965,21996,22056,22199,22339,22481,22576,22691,22747,22814,22974,23086,23218,23306,23393,23447,23499,23603,23764,23937,24035,24117,24180,24282,24374,24482,24608,24691,24764,24800,24864,24996,25121,25208,25208,25325,25365,25411,25524,25624,25698,25766,25802,25829,25897,25977,26056,26143,26199,26234,26252,26319,26373,26440,26502,26575,26622,26630,26715,26786,26885,26939,27031,27051,27067,27083,27109,27135,27437,27536,27584,27633,27706,27839,27948,27993,28070,28124,28171,28307,28469,28628,28789,28916,28916
,New Castle,39.57992638,-75.64054974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,15,17,23,27,32,39,44,71,79,86,105,130,141,156,197,226,245,279,400,436,496,571,636,701,751,807,880,919,947,974,1003,1100,1205,1205,1229,1303,1352,1389,1486,1504,1599,1629,1701,1717,1734,1829,1864,1903,1934,1979,2087,2130,2184,2275,2275,2390,2440,2496,2560,2619,2667,2682,2738,2845,2933,3053,3132,3132,3309,3436,3508,3528,3575,3629,3723,3758,3838,3883,3903,3925,3937,3995,4070,4095,4125,4139,4171,4224,4259,4287,4345,4386,4422,4470,4522,4569,4647,4682,4697,4720,4791,4840,4871,4925,5031,5065,5079,5183,5277,5334,5398,5489,5555,5583,5626,5688,5732,5759,5797,5860,5904,5935,5981,6028,6070,6125,6206,6231,6296,6408,6414,6480,6560,6588,6682,6743,6794,6843,6868,6938,6994,7042,7092,7130,7161,7206,7243,7276,7309,7379,7450,7490,7524,7580,7617,7661,7705,7737,7771,7826,7865,7890,7925,7927,7989,8109,8139,8190,8250,8285,8360,8415,8516,8601,8656,8694,8694,8805,8880,8989,9092,9146,9262,9351,9418,9480,9521,9590,9663,9731,9777,9865,9975,10029,10106,10198,10309,10368,10520,10813,10936,11005,11087,11159,11216,11297,11399,11507,11593,11688,11747,11787,11851,11958,12059,12153,12200,12277,12311,12401,12491,12579,12646,12776,12814,12895,12989,13079,13192,13259,13394,13451,13507,13639,13818,13964,14204,14414,14545,14675,14800,15113,15341,15629,15866,16123,16240,16490,16900,17262,17587,17820,18121,18359,18709,19088,19409,19788,20004,20501,20700,21211,21753,22204,22705,23109,23576,24250,24705,25107,25771,26089,26653,27095,27602,28075,28235,28869,29126,29300,29647,30058,30526,30964,31370,31697,31963,32426,32686,33211,33433,33852,34182,34641,35085,35434,36188,36424,36913,37396,37674,38033,38451,38955,39339,39678,40199,40497,40753,41012,41472,41819,42180,42499,42872,43025,43190,43541,43763,44073,44340,44570,44683,44833,44932,45112,45277,45742,45935,46076,46237,46455,46681,46949,47134,47278,47349,47465,47608,47842,48047,48142,48396,48493,48647,48833,49019,49304,49523,49741,49817,49967,50129,50278,50449,50614,50757,50844,50991,51712,51890,52084,52228,52413,52512,52763,52986,53148,53323,53561,53672,53818,53966,54110,54318,54554,54815,55064,55191,55327,55599,55871,56201,56411,56541,56715,56868,57112,57358,57630,57861,58126,58265,58498,58789,59049,59355,59610,59884,59996,60187,60366,60591,60777,60970,61111,61218,61359,61447,61647,61787,61935,62047,62151,62273,62381,62514,62615,62734,62805,62862,62915,62991,63077,63166,63262,63317,63374,63953,64017,64107,64183,64248,64279,64279,64351,64396,64448,64504,64524,64555,64566,64578,64608,64631,64656,64690,64716,64726,64742,64761,64784,64802,64823,64842,64866,64881,64897,64907,64923,64937,64945,64954,64964,64976,64987,64999,65016,65030,65034,65053,65059,65087,65099,65119,65131,65138,65138,65151,65182,65205,65240,65251,65263,65301,65320,65339,65382,65399,65421,65444,65467,65506,65530,65570,65613,65660,65710,65747,65806,65889,65963,66033,66094,66144,66198,66275,66383,66504,66602,66702,66767,66836,66990,67120,67274,67394,67549,67618,67764,67965,68162,68353,68493,68630,68740,68878,69101,69360,69507,69660,69877,69966,70118,70381,70664,70857,71033,71154,71325,71452,71594,71938,72267,72576,72781,72930,73024,73296,73601,73907,74119,74331,74466,74576,74873,75137,75442,75622,75822,75979,76146,76411,76690,77001,77190,77369,77518,77755,77993,78233,78539,78643,78856,78941,79107,79349,79540,79813,79813,80125,80214,80364,80529,80725,80933,81061,81222,81267,81406,81556,81667,81889,82013,82126,82163,82309,82472,82622,82779,82929,83071,83110,83253,83446,83692,83851,84042,84140,84157,84235,84309,84462,85352,85521,85662,85810,85974,86194,86497,86641,86770,86901,87086,87424,87743,88159,88612,88888,88888
,Sussex,38.66143781,-75.39031349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,8,12,18,23,26,27,37,59,66,81,88,101,105,117,125,151,159,210,279,294,336,404,464,551,639,678,698,811,886,886,1055,1139,1317,1377,1394,1490,1801,1870,2114,2169,2216,2292,2359,2461,2497,2520,2764,2834,2936,2990,2990,3091,3205,3336,3503,3565,3658,3739,3861,3904,3960,4006,4048,4048,4103,4118,4132,4140,4151,4155,4215,4253,4272,4299,4305,4314,4322,4342,4346,4353,4361,4373,4379,4389,4401,4406,4416,4428,4429,4431,4470,4487,4495,4501,4509,4522,4538,4540,4542,4608,4637,4681,4690,4779,4847,4854,4903,4952,4977,4988,5008,5045,5076,5093,5119,5130,5153,5171,5244,5264,5304,5333,5365,5375,5407,5508,5515,5522,5529,5564,5575,5583,5608,5630,5656,5673,5685,5778,5786,5803,5821,5839,5848,5867,5881,5928,6167,6172,6181,6197,6209,6213,6221,6235,6242,6245,6249,6269,6289,6309,6329,6350,6352,6354,6357,6359,6362,6365,6374,6396,6420,6432,6432,6456,6471,6491,6504,6519,6567,6578,6585,6592,6600,6631,6649,6666,6673,6691,6718,6727,6740,6761,6782,6791,6807,6913,6962,6996,7024,7050,7066,7112,7148,7188,7221,7267,7302,7328,7346,7390,7476,7518,7560,7593,7609,7660,7711,7770,7802,7854,7882,7925,7968,8036,8099,8170,8213,8255,8299,8342,8408,8461,8528,8589,8645,8700,8752,8854,8932,9035,9139,9194,9247,9341,9493,9585,9682,9793,9876,9918,10069,10175,10253,10377,10436,10558,10620,10746,10899,11007,11165,11355,11499,11618,11702,11912,12108,12286,12526,12651,12780,12976,13079,13318,13460,13611,13727,13815,14021,14129,14325,14458,14555,14689,14758,14936,15166,15396,15563,15819,16022,16205,16515,16715,17045,17252,17419,17579,17758,17983,18142,18328,18570,18762,18844,18977,19148,19372,19545,19745,19903,19985,20092,20256,20361,20550,20728,20824,20867,20940,21018,21092,21158,21339,21442,21532,21570,21683,21773,21858,21945,22017,22046,22095,22148,22195,22253,22311,22368,22398,22467,22526,22590,22664,22694,22725,22744,22785,22802,22847,22890,22918,22949,22962,22993,23023,23047,23073,23125,23158,23176,23248,23291,23308,23379,23423,23438,23456,23482,23521,23548,23606,23651,23691,23717,23744,23788,23852,23924,23955,23989,24025,24046,24089,24136,24184,24243,24285,24314,24370,24416,24494,24570,24630,24678,24703,24754,24815,24857,24926,24973,25019,25034,25064,25108,25165,25205,25272,25300,25319,25356,25392,25423,25458,25502,25515,25537,25566,25590,25617,25654,25674,25696,25716,25756,25774,25802,25829,25841,25847,25847,25881,25900,25915,25937,25963,25972,25984,25987,25997,26019,26045,26060,26072,26081,26097,26106,26117,26121,26133,26135,26144,26149,26154,26168,26174,26178,26184,26187,26196,26202,26206,26207,26214,26217,26221,26230,26241,26250,26256,26259,26261,26263,26263,26276,26289,26295,26306,26310,26318,26330,26350,26364,26381,26396,26404,26412,26422,26447,26479,26515,26532,26540,26565,26578,26617,26650,26681,26727,26765,26783,26811,26864,26917,26984,27057,27113,27145,27186,27270,27349,27431,27524,27580,27625,27709,27821,27903,28009,28102,28199,28253,28362,28474,28609,28724,28813,28910,28999,29094,29239,29378,29515,29619,29702,29801,29870,29969,30125,30280,30406,30560,30630,30727,30853,31024,31157,31301,31413,31494,31576,31750,31934,32094,32199,32333,32405,32476,32630,32816,32945,33059,33158,33232,33319,33448,33608,33777,33897,33967,34013,34103,34220,34345,34475,34475,34627,34683,34777,34874,34969,35022,35117,35163,35198,35252,35330,35419,35495,35560,35610,35627,35693,35771,35824,35886,35949,35992,36009,36056,36103,36186,36261,36318,36345,36348,36372,36400,36461,36846,36907,36955,37010,37062,37202,37297,37349,37407,37457,37513,37610,37777,37938,38097,38225,38225
,Delaware,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,16,19,30,39,45,56,68,104,119,130,163,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1639,1773,1931,2014,2070,2317,2538,2538,2745,2932,3203,3336,3469,3604,4056,4182,4575,4661,4741,4926,5048,5218,5298,5381,5778,5945,6120,6288,6289,6565,6746,6959,7223,7375,7547,7670,7870,8039,8198,8392,8529,8529,8809,8967,9066,9100,9176,9243,9428,9505,9608,9690,9717,9751,9782,9891,9985,10019,10066,10100,10151,10215,10272,10308,10384,10445,10488,10543,10652,10720,10813,10861,10889,10930,11020,11077,11128,11260,11405,11502,11535,11746,11923,11996,12128,12293,12414,12462,12531,12652,12743,12806,12879,12969,13050,13114,13337,13429,13519,13624,13746,13792,13924,14202,14223,14306,14406,14476,14602,14689,14788,14877,14949,15055,15137,15296,15365,15445,15504,15579,15634,15699,15765,15967,16340,16397,16451,16536,16593,16643,16718,16770,16828,16895,16942,16992,17051,17080,17175,17350,17388,17453,17535,17573,17669,17752,17892,18043,18249,18308,18308,18466,18559,18726,18849,18937,19137,19249,19332,19404,19466,19579,19680,19772,19841,19952,20091,20160,20264,20389,20533,20615,20789,21340,21528,21646,21766,21869,21953,22085,22230,22400,22532,22691,22796,22867,22962,23126,23344,23495,23598,23727,23777,23930,24089,24249,24363,24570,24651,24794,24955,25153,25353,25528,25713,25828,25935,26155,26436,26659,27003,27308,27512,27742,27946,28416,28793,29201,29598,29950,30152,30549,31210,31715,32201,32604,33052,33383,33964,34554,35054,35633,36036,36742,37096,37855,38796,39493,40308,41107,41860,42792,43436,44218,45275,45857,46852,47532,48317,49143,49483,50509,50989,51430,51994,52607,53386,54023,54842,55419,55849,56547,56956,57813,58421,59230,59838,60686,61453,62078,63293,63848,64817,65612,66166,66785,67511,68401,69062,69705,70625,71239,71638,72102,72850,73554,74235,74894,75509,75809,76150,76811,77251,77862,78382,78805,79007,79297,79539,79859,80144,80904,81241,81519,81770,82183,82570,82978,83308,83544,83674,83885,84155,84486,84835,85035,85393,85531,85806,86100,86397,86816,87098,87379,87491,87723,87941,88172,88437,88652,88861,88977,89187,89974,90205,90450,90675,90908,91044,91417,91719,91928,92234,92579,92721,92901,93111,93330,93615,93991,94352,94692,94863,95091,95475,95878,96366,96665,96866,97096,97331,97693,98073,98491,98858,99213,99423,99800,100200,100608,101061,101441,101830,101987,102272,102548,102873,103205,103501,103737,103882,104121,104318,104683,104898,105184,105344,105479,105675,105844,106049,106221,106421,106525,106614,106727,106853,106988,107145,107279,107361,107447,108199,108302,108436,108550,108635,108679,108679,108802,108876,108950,109037,109088,109133,109161,109178,109224,109272,109337,109393,109434,109455,109491,109524,109562,109588,109624,109645,109687,109707,109736,109767,109794,109814,109830,109843,109865,109886,109902,109923,109948,109966,109978,110010,110036,110086,110112,110141,110157,110166,110166,110197,110252,110285,110340,110359,110379,110449,110498,110537,110605,110653,110690,110725,110770,110842,110908,111000,111069,111135,111216,111288,111404,111551,111684,111842,111961,112043,112165,112352,112581,112842,113056,113251,113375,113537,113869,114139,114475,114775,115061,115203,115527,115957,116367,116755,117065,117346,117543,117885,118315,118842,119224,119524,119919,120151,120480,121026,121584,122044,122413,122672,123020,123260,123613,124262,124881,125413,125856,126107,126359,126901,127518,128100,128552,128992,129265,129525,130157,130718,131316,131690,132112,132396,132687,133211,133838,134452,134854,135215,135502,135929,136389,136898,137500,137808,138165,138333,138654,139146,139588,140079,140080,140662,140848,141139,141515,141907,142243,142535,142779,142887,143149,143458,143738,144124,144370,144569,144642,144922,145218,145489,145771,146058,146291,146356,146632,146944,147373,147662,148003,148149,148313,148674,149096,149566,151143,151472,151709,151961,152250,152743,153250,153491,153755,153990,154278,154849,155497,156233,157006,157537,157537
