Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20
,Casanare,,,26,60,88,128,178,213,233,269,303,348,390,414,440,476,522,554,585,613,636,672,701,727,755,781,810,836,854,869,926,955,979,1032,1068,1086,1110,1129,1158,1178,1208,1226,1244,1272,1310,1353,1395,1411,1428,1460,1525,1566,1605,1633,1649,1664,1691,1773,1797,1821,1847,1883,1904,1920,1965,1980,2010,2039,2081,2097,2134,2151,2166,2207,2213,2240,2267,2295,2323,2352,2381,2410,2440,2470,2500,2531,2562,2593,2625,2657,2690,2723,2756,2790,2824,2859,2894,2930,2965,3002,3039,3076
,Cauca,,,43,98,206,273,347,418,528,588,654,748,835,902,973,1043,1098,1179,1257,1325,1382,1426,1492,1550,1624,1683,1775,1828,1879,1939,1979,2038,2076,2130,2177,2219,2269,2329,2370,2416,2457,2512,2553,2626,2669,2705,2754,2798,2836,2873,2929,2983,3034,3085,3132,3163,3207,3266,3309,3360,3387,3419,3443,3497,3563,3629,3695,3749,3812,3850,3904,4007,4071,4115,4152,4217,4282,4349,4417,4486,4556,4627,4699,4772,4847,4922,4999,5077,5156,5237,5318,5401,5486,5571,5658,5746,5836,5927,6019,6113,6208,6305
,Cesar,,,44,84,140,192,239,300,351,402,452,515,568,618,695,745,794,861,908,980,1074,1146,1214,1275,1387,1472,1560,1657,1765,1866,2072,2203,2310,2412,2527,2689,2804,2903,2993,3108,3218,3322,3419,3525,3631,3745,3840,3913,4054,4153,4265,4383,4516,4614,4694,4814,4937,5058,5175,5291,5398,5515,5641,5780,5934,6087,6235,6342,6469,6567,6726,6853,6908,7021,7072,7191,7312,7435,7560,7687,7816,7948,8081,8217,8356,8496,8639,8784,8932,9082,9235,9391,9549,9709,9873,10039,10208,10379,10554,10731,10912,11096
,Choco,,,33,78,200,261,317,401,506,564,604,638,676,715,761,798,856,886,909,955,1013,1061,1130,1223,1299,1336,1350,1425,1485,1556,1577,1600,1667,1691,1764,1789,1801,1900,1927,1954,2060,2082,2162,2199,2223,2234,2266,2273,2356,2420,2482,2546,2570,2606,2714,2879,2928,2941,3009,3041,3101,3116,3128,3144,3160,3197,3203,3207,3256,3275,3347,3389,3418,3435,3439,3471,3504,3537,3570,3604,3638,3672,3707,3742,3777,3812,3848,3885,3921,3958,3996,4033,4071,4110,4148,4188,4227,4267,4307,4348,4389,4430
,Cordoba,,,30,67,117,165,222,311,361,431,497,578,621,693,762,849,962,1071,1193,1280,1367,1529,1632,1725,1842,1988,2073,2162,2351,2470,2652,2859,3028,3156,3301,3493,3614,3792,3957,4120,4286,4456,4649,4887,5092,5278,5435,5663,5824,5958,6122,6226,6401,6580,6733,6846,6971,7114,7229,7397,7565,7685,7844,7966,8159,8388,8493,8634,8775,8919,9031,9161,9495,9937,9691,9901,10115,10334,10557,10786,11019,11257,11501,11749,12003,12263,12528,12799,13076,13359,13647,13943,14244,14552,14867,15188,15517,15852,16195,16545,16903,17269
,Cundinamarca,,,133,295,452,607,808,942,1073,1228,1381,1514,1652,1800,1946,2128,2244,2396,2553,2688,2819,3016,3168,3297,3430,3565,3713,3853,4016,4164,4339,4519,4666,4782,4895,5123,5264,5385,5504,5629,5748,5927,6088,6216,6347,6462,6602,6709,6849,6998,7127,7284,7442,7661,7884,8069,8210,8405,8726,8920,9113,9277,9478,9706,9943,10174,10371,10605,10781,10983,11220,11434,11642,11907,12090,12330,12575,12825,13080,13340,13605,13876,14151,14432,14719,15012,15310,15614,15924,16241,16564,16893,17228,17571,17920,18276,18639,19010,19387,19773,20165,20566
,Guainia,,,22,29,51,56,63,68,76,92,103,128,143,153,160,169,209,226,236,238,246,352,403,413,418,421,423,429,430,540,581,588,626,710,717,730,799,812,818,825,836,929,934,937,992,996,1013,1018,1020,1035,1049,1066,1067,1069,1071,1073,1082,1086,1093,1098,1108,1109,1113,1118,1122,1130,1139,1142,1157,1161,1164,1168,1170,1173,1171,1176,1180,1184,1188,1192,1197,1201,1205,1209,1214,1218,1222,1227,1231,1236,1240,1244,1249,1253,1258,1262,1267,1271,1276,1280,1285,1290
,Guajira,,,18,39,58,108,136,157,184,206,229,254,280,309,340,364,393,420,466,495,523,553,593,650,696,735,786,841,921,985,1037,1098,1142,1232,1309,1376,1442,1621,1730,1808,1888,1990,2072,2222,2356,2458,2625,2724,2824,2885,2963,3073,3180,3291,3486,3619,3736,3861,4021,4095,4254,4337,4416,4496,4610,4764,4868,4994,5192,5303,5383,5472,5637,5761,5834,5967,6104,6243,6386,6532,6681,6833,6989,7149,7312,7479,7650,7825,8004,8187,8374,8565,8760,8961,9165,9375,9589,9808,10032,10261,10495,10735
,Guaviare,,,4,16,27,39,47,65,91,100,113,119,126,139,148,163,170,176,183,191,217,225,243,255,257,264,279,293,296,304,309,311,316,338,351,364,371,376,381,382,383,390,395,397,415,416,417,419,440,448,455,470,479,493,504,516,533,555,585,600,612,627,649,658,675,720,731,758,779,785,791,805,812,864,835,852,870,889,907,926,946,966,986,1007,1028,1050,1072,1094,1117,1141,1165,1190,1215,1240,1266,1293,1320,1348,1376,1405,1435,1465
,Huila,,,72,143,258,355,434,491,543,616,706,769,864,941,1010,1103,1176,1249,1320,1408,1480,1548,1639,1740,1843,1922,2006,2114,2201,2290,2372,2477,2584,2659,2758,2851,2924,3039,3094,3157,3258,3333,3392,3474,3539,3630,3705,3770,3835,3926,3993,4083,4151,4193,4254,4337,4410,4510,4604,4691,4800,4885,4974,5068,5137,5194,5331,5408,5487,5579,5662,5777,5892,6019,6073,6182,6292,6405,6519,6635,6754,6875,6997,7122,7250,7379,7511,7645,7782,7921,8062,8206,8353,8502,8654,8809,8966,9126,9289,9455,9624,9796
