,Arica y Parinacota,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,6,6,6,7,12,12,28,41,53,63,75,87,107,115,115,120,124,129,134,142,145,161,170,180,210,239,245,252,265,268,272,279,297,307,308,308,315,318,325,327,337,340,351,351,359,363,368,377,378,398,422,424,453,471,482,498,513,522,541,562,582,588,619,636,654,701,736,782,819,850,874,914,930,967,1011,1062,1109,1139,1156,1218,1239,1295,1325,1371,1420,1443,1473,1511,1549,1611,1649,1685,1713,1776,1832,1889,1949,2006,2087,2119,2179,2273,2322,2395,2467,2562,2638,2735,2840,2936,3012,3056,3188,3291,3350,3482,3627,3727,3862,3939,4060,4159,4257,4343,4450,4525,4584,4662,4727,4825,4911,4988,5138,5241,5334,5451,5512,5595,5692,5779,5848,5899,5935,6004,6083,6167,6210,6290,6330,6375,6419,6482,6538,6599,6666,6721,6746,6808,6862,6912,6967,7030,7069,7101,7138,7187,7227,7281,7331,7378,7424,7457,7498,7561,7614,7627,7659,7704,7748,7818,7873,7955,8024,8081,8146,8207,8286,8354,8416,8460,8512,8562,8623,8676,8720,8763,8823,8866,8916,8961,9021,9064,9116,9143,9165,9202,9256,9307,9357,9398,9440,9463,9483,9517,9560,9603,9625,9644,9670,9690,9730,9773,9805,9840,9873,9886,9902,9932,9949,9974,10000,10017,10025,10043,10067,10099,10109,10125,10143,10149,10156,10176,10187,10205,10220,10239,10242,10252,10265,10279,10293,10307,10321,10323,10340,10358,10372,10404,10429,10451,10463,10472,10475,10525,10537,10567,10582,10593,10610,10650,10674,10696,10705,10725,10747,10777,10805,10859,10906,10934,10946,10968,11027,11071,11119,11196,11243,11341,11389,11422,11519,11579,11664,11780,11876,11939,11982,12065,12160,12251,12339,12417,12480,12563,12654,12761,12855,12966,13066,13148,13195,13266,13346,13447,13548,13638,13684,13747,13831,13926,13981,14101,14182,14228,14281,14383,14481,14564,14656,14754,14811,14862,14934,15012,15098,15155,15212,15264,15291,15371,15458,15530,15576,15663,15689,15729,15833,15912,15983,16035,16151,16192,16307,16439,16527,16627,16698,16759,16808,16850,16955,17042,17106,17207,17279,17321,17399,17547,17631,17685,17772,17826,17866,17938,18088,18192,18286,18375,18473,18528,18571,18693,18794,18909,18995,19100,19147,19214,19356,19471,19577,19693,19800,19915,19965,20057,20139,20227,20326,20402,20461,20514,20653,20727,20821,20935,21020,21048,21084,21193,21373,21471,21551,21623,21656,21703,21813,21946,22047,22144,22212,22279,22337,22452,22531,22635,22713,22813,22869,22926,23043,23143,23244,23298,23404,23453,23517,23592,23692,23773,23834,23938,23995,24043,24138,24242,24335,24433,24498,24539,24587,24638,24759,24841,24915,24996,25031,25061,25109,25202,25279,25333,25387,25429,25450,25528,25581,25628,25665,25713,25736,25764,25897,26008,26092,26113,26126,26134,26147,26177,26192,26214,26240,26256,26269,26288,26312,26325,26333,26350,26358,26364,26373,26396,26411,26428,26435,26460,26469,26482,26493,26507,26520,26528,26537,26538,26545,26551,26558,26574,26577,26587,26588,26594,26600,26611,26615,26618,26623,26639,26647,26648,26652,26657,26665,26678,26683,26695,26719,26742,26766,26789,26817,26837,26856,26885,26911,26943,26970,26984,26998,27037,27060,27092,27126,27151,27163,27196,27225,27268,27299,27347,27371,27388,27394,27413,27432,27453,27467,27494,27505,27517,27529,27560,27591,27619,27650,27660,27683,27709,27728,27754,27771,27789,27809,27824,27845,27858,27880,27903,27918,27939,27944,27958,27992,28010,28035,28052,28084,28104,28146,28175,28204,28235,28256,28276,28302,28321,28349,28374,28397,28414,28419,28429,28464,28488,28504,28521,28533,28538,28549,28565,28577,28588
Arica y Parinacota,Arica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,12,21,31,41,52,63,75,87,96,105,115,119,124,129,134,144,155,166,180,194,209,224,239,254,270,276,283,290,297,301,305,310,314,318,323,328,336,344,353,357,361,366,371,382,393,405,423,441,459,477,493,509,525,542,560,578,596,615,634,653,691,729,767,806,838,871,904,939,974,1010,1046,1089,1132,1176,1224,1273,1322,1371,1411,1451,1492,1533,1578,1623,1668,1713,1758,1801,1844,1887,1950,2013,2076,2139,2204,2269,2334,2399,2464,2549,2635,2721,2821,2921,3022,3123,3206,3289,3372,3499,3626,3754,3882,3991,4101,4211,4317,4423,4529,4636,4715,4794,4874,4960,5046,5133,5220,5327,5435,5543,5634,5725,5816,5907,5981,6056,6131,6191,6252,6313,6374,6441,6509,6577,6628,6679,6731,6783,6845,6907,6969,7019,7070,7121,7172,7229,7286,7344,7383,7423,7463,7503,7550,7598,7646,7689,7732,7775,7819,7862,7905,7948,7994,8040,8087,8134,8200,8266,8332,8398,8464,8530,8597,8655,8713,8772,8828,8884,8940,8996,9043,9090,9138,9189,9240,9291,9343,9386,9429,9472,9513,9554,9595,9637,9679,9721,9763,9794,9825,9856,9888,9916,9945,9974,10006,10038,10070,10103,10138,10173,10208,10229,10250,10272,10294,10317,10340,10363,10383,10403,10423,10443,10458,10473,10489,10499,10509,10519,10530,10548,10567,10586,10597,10608,10619,10630,10644,10658,10672,10684,10696,10708,10720,10746,10772,10798,10817,10836,10855,10875,10894,10914,10934,10957,10980,11004,11028,11045,11062,11080,11113,11146,11179,11212,11240,11268,11296,11330,11364,11399,11434,11506,11578,11650,11709,11768,11827,11886,11981,12076,12171,12241,12311,12382,12453,12539,12625,12711,12795,12879,12963,13047,13143,13239,13335,13402,13470,13538,13606,13699,13792,13885,13955,14026,14097,14168,14254,14340,14427,14503,14580,14657,14734,14825,14916,15007,15094,15182,15270,15358,15447,15537,15627,15714,15802,15890,15978,16069,16161,16253,16343,16433,16523,16614,16713,16813,16913,17042,17171,17301,17431,17544,17657,17771,17920,18070,18220,18370,18459,18548,18637,18767,18897,19027,19157,19236,19316,19396,19508,19620,19732,19845,19944,20043,20142,20244,20346,20448,20550,20664,20779,20894,21001,21109,21217,21325,21447,21569,21692,21801,21910,22020,22130,22225,22320,22415,22516,22617,22719,22821,22926,23031,23137,23239,23341,23444,23547,23650,23753,23856,23953,24051,24149,24247,24347,24447,24548,24643,24738,24833,24929,25029,25130,25231,25325,25419,25514,25609,25710,25811,25913,25999,26085,26171,26258,26349,26440,26531,26627,26723,26819,26916,27009,27102,27195,27290,27385,27480,27576,27655,27734,27813,27878,27943,28008,28074,28149,28224,28299,28357,28415,28473,28532,28584,28636,28688,28764,28841,28918,28995,29035,29076,29117,29127,29137,29147,29158,29173,29188,29203,29212,29222,29232,29242,29262,29282,29302,29313,29324,29336,29348,29368,29388,29408,29418,29428,29439,29450,29464,29478,29493,29495,29497,29499,29501,29512,29523,29535,29540,29545,29551,29557,29564,29571,29579,29599,29620,29641,29662,29668,29674,29681,29701,29721,29742,29763,29787,29811,29836,29859,29882,29905,29929,29953,29977,30002,30033,30064,30096,30128,30165,30202,30239,30273,30307,30341,30376,30405,30434,30463,30481,30499,30517,30536,30550,30564,30579,30599,30619,30640,30661,30683,30705,30727,30752,30777,30802,30828,30848,30869,30890,30913,30936,30959,30983,31006,31029,31053,31071,31089,31107,31125,31152,31180,31208,31246,31284,31322,31361,31386,31412,31438,31458,31478,31498,31519,31534,31550,31566,31585,31604,31623,31643,31649,31655,31662,31674,31687,31700,31713
Arica y Parinacota,Camarones,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,11,13,13,13,13,13,13,13,13,13,14,15,15,15,15,16,17,19,21,21,21,22,23,23,23,23,23,23,23,24,24,24,25,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,33,34,35,36,36,36,36,37,38,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,44,44,44,44,44,44,45,46,47,49,51,51,52,53,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,57,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,63,63,63,63,64,64,64,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
Arica y Parinacota,Putre,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,7,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,14,17,20,23,26,26,27,28,28,28,28,28,28,29,30,31,32,34,36,36,36,37,37,37,38,39,39,39,40,42,44,47,50,51,53,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,58,59,59,59,60,60,60,61,62,62,62,62,62,62,62,63,64,65,67,67,67,67,67,68,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,75,76,77,78,80,81,83,85,85,85,85,85,86,87,88,90,92,94,97,98,99,101,103,105,107,110,112,114,117,118,119,120,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,124,125,125,125,125,126,126,126,126,126,126,126,127,127,127,127,127,127,127,128,128,128,129,129,129,130,131,132,134,136,137,138,139,141,142,143,145,147,149,151,154,154,155,156,157,158,160,162,162,163,164,164,164,164,164,164,164,164,164,164,164,165,165,165,166,166,166,166,167,167,167,168,168,168,168,168,168,168,168,168,168,169,170,170,170,171,171,171,172,173,173,174,175,175,175,175,175,175,175,176,176,176,176,176,177,178,179,180,182,184,186,187,188,189,189,189,189,189,189,190,191,191,191,191,192,192,192,193,193,193,193,194,194,194,195,195,195,195,195,195,195,196,196,196,196,196,196,196,196,196,196,197,198,198,198,198,198,198,198,198,198,198,198,198,199,200,201,201,201,201,201,201,201,202,202,202,202,202,202,202,203,203,203,204,204,204,204,204,204,204,204,204,204,204,205,205,206,207,207,207,207,208,208,208,208,208,209,210,211,212,213,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
